site_id,target_time,n_observations,n_valid_unique,n_invalid,n_off_grid,n_duplicate_rows,observed_mean,complete,actual,quality_reason,interval_start,interval_end,label_available_at
turbine_1,2025-09-30T19:00:00Z,6,6,0,0,0,0.26666666666666666,True,0.26666666666666666,complete,2025-09-30T19:00:00Z,2025-09-30T20:00:00Z,2025-09-30T20:00:00Z
turbine_1,2025-09-30T20:00:00Z,6,6,0,0,0,0.41500000000000004,True,0.41500000000000004,complete,2025-09-30T20:00:00Z,2025-09-30T21:00:00Z,2025-09-30T21:00:00Z
turbine_1,2025-09-30T21:00:00Z,6,6,0,0,0,0.54,True,0.54,complete,2025-09-30T21:00:00Z,2025-09-30T22:00:00Z,2025-09-30T22:00:00Z
turbine_1,2025-09-30T22:00:00Z,6,6,0,0,0,0.35833333333333334,True,0.35833333333333334,complete,2025-09-30T22:00:00Z,2025-09-30T23:00:00Z,2025-09-30T23:00:00Z
turbine_1,2025-09-30T23:00:00Z,6,6,0,0,0,0.4533333333333333,True,0.4533333333333333,complete,2025-09-30T23:00:00Z,2025-10-01T00:00:00Z,2025-10-01T00:00:00Z
turbine_1,2025-10-01T00:00:00Z,6,6,0,0,0,0.7383333333333333,True,0.7383333333333333,complete,2025-10-01T00:00:00Z,2025-10-01T01:00:00Z,2025-10-01T01:00:00Z
turbine_1,2025-10-01T01:00:00Z,6,6,0,0,0,0.93,True,0.93,complete,2025-10-01T01:00:00Z,2025-10-01T02:00:00Z,2025-10-01T02:00:00Z
turbine_1,2025-10-01T02:00:00Z,6,6,0,0,0,0.8650000000000001,True,0.8650000000000001,complete,2025-10-01T02:00:00Z,2025-10-01T03:00:00Z,2025-10-01T03:00:00Z
turbine_1,2025-10-01T03:00:00Z,6,6,0,0,0,0.88,True,0.88,complete,2025-10-01T03:00:00Z,2025-10-01T04:00:00Z,2025-10-01T04:00:00Z
turbine_1,2025-10-01T04:00:00Z,6,6,0,0,0,0.9783333333333334,True,0.9783333333333334,complete,2025-10-01T04:00:00Z,2025-10-01T05:00:00Z,2025-10-01T05:00:00Z
turbine_1,2025-10-01T05:00:00Z,6,6,0,0,0,0.9633333333333334,True,0.9633333333333334,complete,2025-10-01T05:00:00Z,2025-10-01T06:00:00Z,2025-10-01T06:00:00Z
turbine_1,2025-10-01T06:00:00Z,6,6,0,0,0,0.9899999999999999,True,0.9899999999999999,complete,2025-10-01T06:00:00Z,2025-10-01T07:00:00Z,2025-10-01T07:00:00Z
turbine_1,2025-10-01T07:00:00Z,6,6,0,0,0,0.9899999999999999,True,0.9899999999999999,complete,2025-10-01T07:00:00Z,2025-10-01T08:00:00Z,2025-10-01T08:00:00Z
turbine_1,2025-10-01T08:00:00Z,6,6,0,0,0,0.985,True,0.985,complete,2025-10-01T08:00:00Z,2025-10-01T09:00:00Z,2025-10-01T09:00:00Z
turbine_1,2025-10-01T09:00:00Z,6,6,0,0,0,0.9899999999999999,True,0.9899999999999999,complete,2025-10-01T09:00:00Z,2025-10-01T10:00:00Z,2025-10-01T10:00:00Z
turbine_1,2025-10-01T10:00:00Z,6,6,0,0,0,0.985,True,0.985,complete,2025-10-01T10:00:00Z,2025-10-01T11:00:00Z,2025-10-01T11:00:00Z
turbine_1,2025-10-01T11:00:00Z,6,6,0,0,0,0.9883333333333333,True,0.9883333333333333,complete,2025-10-01T11:00:00Z,2025-10-01T12:00:00Z,2025-10-01T12:00:00Z
turbine_1,2025-10-01T12:00:00Z,6,6,0,0,0,0.9766666666666667,True,0.9766666666666667,complete,2025-10-01T12:00:00Z,2025-10-01T13:00:00Z,2025-10-01T13:00:00Z
turbine_1,2025-10-01T13:00:00Z,6,6,0,0,0,0.9700000000000001,True,0.9700000000000001,complete,2025-10-01T13:00:00Z,2025-10-01T14:00:00Z,2025-10-01T14:00:00Z
