run_id,site_id,issued_at,target_time,horizon_step,lead_hours,model_version,weather_version,quality_flag,prediction
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,1,1,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.1822286950643787
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T08:00:00Z,2,2,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.19658726047217176
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T09:00:00Z,3,3,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.1415897192530814
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T10:00:00Z,4,4,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.12568967417737076
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T11:00:00Z,5,5,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.11980934894768573
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T12:00:00Z,6,6,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.14485973971630153
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T13:00:00Z,7,7,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.17944848918175962
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T14:00:00Z,8,8,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.1783320026020082
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T15:00:00Z,9,9,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.2149354073215346
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T16:00:00Z,10,10,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.20510811028524373
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T17:00:00Z,11,11,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.29859972980698724
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T18:00:00Z,12,12,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.3204216486689662
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T19:00:00Z,13,13,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.39380750898511774
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T20:00:00Z,14,14,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.3688687128630057
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T21:00:00Z,15,15,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.3796622745937229
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T22:00:00Z,16,16,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.39936456510703044
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-01T23:00:00Z,17,17,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.5670078824379321
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-02T00:00:00Z,18,18,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.5672020992863831
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-02T01:00:00Z,19,19,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.5802445546822339
forecast-7f5731a55df961b4ac8ff004,turbine_2,2026-02-01T06:00:00Z,2026-02-02T02:00:00Z,20,20,ml-03e3b3999293875db412a925,gfs-4af0dea4da39acdac6609114,verified_object_version,0.5717150103990891
